date,headline,print_headline,abstract,snippet,lead_paragraph
2000-11-26,TREATY TALKS FAIL TO FIND CONSENSUS IN GLOBAL WARMING,TREATY TALKS FAIL TO FIND CONSENSUS IN GLOBAL WARMING,"Last-minute disputes between European and American negotiators result in collapse of negotiations aimed at finishing treaty to curb global warming; breakdown follows two weeks of intensive talks in Hague, stunning many participants, environmental groups and observers; Frank E Loy, top American negotiator, agrees with several European participants that effort should continue, even when he and Clinton administration hand over task to new administration; talks are riven by conflicting agendas; poor countries seek billions of dollars to help them adapt to climate change, and rich nations seek to blunt economic impact of treaty by finding least costly ways to cut their emissions of warming gases; latest failure attributed to persistent disagreement between industrial powers on opposite sides of Atlantic over role of trees and properly managed farmland in acting as 'sinks' to absorb carbon dioxide, dominant greenhouse gas; photo (M)","Last-minute disputes between European and American negotiators result in collapse of negotiations aimed at finishing treaty to curb global warming; breakdown follows two weeks of intensive talks in Hague, stunning many participants, environmental ...",High-stakes negotiations aimed at finishing a treaty to curb global warming collapsed today after a tense all-night bargaining session foundered on last-minute disputes between European and American negotiators.
2000-11-27,"Haiti Casts Ballots, Preparing the Way For Aristide Encore","Haiti Casts Ballots, Preparing the Way For Aristide Encore","Voter turnout is light in Haiti in election seen likely to be won by former Pres Jean-Bertrand Aristide, who faced no serious challengers after opposition announced boycott; election poses quandry for international community and US, which have expressed grave reservations about legitimacy of both vote and fairness of May legislative election which gave Aristide's party overwhelming majority in Parliament; photos (M)","Voter turnout is light in Haiti in election seen likely to be won by former Pres Jean-Bertrand Aristide, who faced no serious challengers after opposition announced boycott; election poses quandry for international community and US, which have exp...",The hardest-fought contests on the morning of the presidential election today were not inside the polls but on the barricaded streets of the capital.
2000-11-28,Leading Auto Insurer to Cut Rates For Drivers of the Biggest Vehicles,Leading Auto Insurer to Cut Rates For Drivers of the Biggest Vehicles,"State Farm, nation's biggest auto insurer, will announce shift in its pricing policies that will cut rates for drivers of biggest cars, trucks and sport utility vehicles, based on claims data showing them to be safest for occupants; biggest discount of 40 percent will go to drivers of large and expensive cars, vans, pickups and sport utilities; drivers of smaller vehicles will receive 20 percent discounts on portion of their premium covering personal injuries to occupants; consumer advocates say pricing plan is unfair to majority of drivers since it disregards threat bigger cars pose to smaller vehicles; photos; charts (M)","State Farm, nation's biggest auto insurer, will announce shift in its pricing policies that will cut rates for drivers of biggest cars, trucks and sport utility vehicles, based on claims data showing them to be safest for occupants; biggest discou...","State Farm, the nation's biggest auto insurer, plans today to announce a shift in its pricing policies that will cut rates for drivers of the biggest cars, trucks and sport utility vehicles, based on claims data showing them to be the safest for their occupants."
2000-11-29,Supreme Court Bars Roadblocks Set Up To Search for Drugs,Supreme Court Bars Roadblocks Set Up To Search for Drugs,"Supreme Court, 6-3, rules police roadblocks aimed at discovering drugs violate Constitutional ban on search and seizures not based on suspicion of individual wrongdoing; upholds lower court ruling involving drug interdiction checkpoints set up by Indianapolis in 1998; Justice Sandra Day O'Connor writes for majority; Chief Justice William H Rehnquist writes dissent; Court maintains its ban on television cameras for hearing on Florida presidential election case; says it will quickly release audio recording after session to network pool, modest concession; Sens Charles E Schumer and Charles E Grassley wrote to justices urging cameras be allowed at session; Schumer hails decision to release audio; Court, 9-0, affirms lower court ruling and upholds arbitrator's decision to reinstate truck driver employer wanted to dismiss for failing two drug tests (M)","Supreme Court, 6-3, rules police roadblocks aimed at discovering drugs violate Constitutional ban on search and seizures not based on suspicion of individual wrongdoing; upholds lower court ruling involving drug interdiction checkpoints set up by ...","Police roadblocks aimed at discovering drugs violate the Constitution, the Supreme Court ruled today in an important decision reaffirming the Fourth Amendment prohibition against searches and seizures that are not based on a suspicion of individual wrongdoing."
2000-11-30,"Gore Cannot Afford to Wait For Vote Count, Lawyers Say","CONTESTING THE VOTE: THE FLORIDA COURTS; Gore Cannot Afford to Wait For Vote Count, Lawyers Say","Lawyers for Vice Pres Al Gore appeal to Florida Supreme Court to begin immediately recount of disputed presidential ballots; say their only chance for victory in election will be shattered if forced to wait until December 2 to begin; ask court to take over Gore's contest lawsuit from deliberate-moving trial court, to count ballots itself and eventually declare Gore winner if he wins recount; lawyers for Gov George W Bush warn they will not allow any hand counting to begin without vigorous legal fight (M)",Lawyers for Vice Pres Al Gore appeal to Florida Supreme Court to begin immediately recount of disputed presidential ballots; say their only chance for victory in election will be shattered if forced to wait until December 2 to begin; ask court to ...,"Lawyers for Vice President Al Gore said today that their only chance for victory in his contest of the Florida election would be shattered if they have to wait until Saturday to begin counting disputed ballots, and they began an appeal to the Florida Supreme Court to do the counting itself, immediately."
2000-12-01,MAD COW DISEASE PANICKING EUROPE AS INCIDENTS RISE,MAD COW DISEASE PANICKING EUROPE AS INCIDENTS RISE,"Panic over mad cow disease that began in France weeks ago is spreading through Europe; number of cases remains minuscule compared with epidemic that hit Britain in mid-1980's, but disease has spread; more than 100 cases have been reported this year, against 31 last year, though expanded testing could have contributed to higher numbers; concern also increased after suspect meat got onto supermarket shelves and after television documentary showed for first time the human form of disease in French victim; fears were further heightened after news that Germany and Spain discovered their first cases; cross-country concern is leading countries to try to outdo each other in what they could ban; European Union proposes to remove from food chain all cows over age of 30 months that have not been tested and expanding current ban on meat and bone meal in feed from cattle to all livestock; but Union is unlikely to be able to do anything about spontaneous protests and consumer fear (M)","Panic over mad cow disease that began in France weeks ago is spreading through Europe; number of cases remains minuscule compared with epidemic that hit Britain in mid-1980's, but disease has spread; more than 100 cases have been reported this yea...",It is not only the French who are in a frenzy about mad cow disease. A panic that began here several weeks ago has now spread throughout Europe.
2000-12-02,"On Hudson, Cleanup Idea Stirs Emotions","On Hudson, Cleanup Idea Stirs Emotions","Environmental Protection Agency will make its long-awaited decision on whether to dredge Hudson River, stirring emotions of people who live along most PCB-laden stretch of river; for nearly 40 years, until 1977, General Electric was permitted by state of New York to dump PCB's into Hudson from its electric capacitator plants just upriver; company has spent tens of millions of dollars on scientific tests showing that PCB's are safely entombed beneath silt layer; EPA, which designated Hudson national Superfund site in 1984, says river is cleaner than it was, but that unacceptable amounts of PCB's are still escaping and working their way into air and tissues of fish; Gov George E Pataki says active cleanup is necessary, but some people living in Schuylerville, NY, and environs fear that giant multi-year industrial cleanup operation could destroy cleaner river they love; EPA must consider local opinion before issuing order; pros and cons discussed; photos (L)","Environmental Protection Agency will make its long-awaited decision on whether to dredge Hudson River, stirring emotions of people who live along most PCB-laden stretch of river; for nearly 40 years, until 1977, General Electric was permitted by s...","Michael McLoughlin is a celebrity. Mr. McLoughlin, a 43-year-old lumberyard salesman, had a brief appearance in a recent General Electric television advertisement about the Hudson River and why the company should not be forced to dredge the bottom to remove PCB's it put there. The river is cleaning itself naturally, the ads all say, and Mr. McLoughlin agrees."
2000-12-03,GORE ASKS JUDGE FOR NEW TALLY BUT BUSH CALLS IT UNJUSTIFIED,CONTESTING THE VOTE: THE OVERVIEW; GORE ASKS JUDGE FOR NEW TALLY BUT BUSH CALLS IT UNJUSTIFIED,"The trial that may finally determine the outcome of the presidential election opened today with a bitter and minutely detailed argument over the mechanics of punch-card voting, as lawyers for Vice President Al Gore and Gov. George W. Bush sparred over such matters as whether voting machines were properly cleaned between elections.    Lawyers for Mr. Gore, who filed the lawsuit to contest Mr. Bush's certified victory in Florida, pleaded with Judge N. Sanders Sauls of Leon County Circuit Court to begin a manual count of thousands of ballots that they believe contain enough votes to make Mr. Gore the winner. And because they want any such counting to include slightly indented ballots, they spent hours presenting testimony on how easy it is to partly punch a hole. The testimony forced the judge to add a second day to the trial, beginning at 9 a.m. Sunday.  ",,"The trial that may finally determine the outcome of the presidential election opened today with a bitter and minutely detailed argument over the mechanics of punch-card voting, as lawyers for Vice President Al Gore and Gov. George W. Bush sparred over such matters as whether voting machines were properly cleaned between elections."
2000-12-04,"For the Gore Team, a Moment of High Drama","CONTESTING THE VOTE: THE SCENE; For the Gore Team, a Moment of High Drama","Lawyers for Vice Pres Al Gore, in moment of high drama in Florida courtroom, succeed in undercutting crucial testimony by voting machine expert John Ahmann, who was produced by attorneys for Gov George W Bush to vouch for ability of Votomatic, voting device used in Miami-Dade and Palm Beach Counties; Ahmann who dismissed during direct testimony theories advanced by Gore team to explain how machine could have produced thousands of unreadable paper ballots, is startled on cross examination by presentation of freshly unearthed patent application he submitted two decades ago for improved version of machine; application listed array of problems similar to those in dispute and he is forced to concede that manual recount of ballots is probably good idea (M)","Lawyers for Vice Pres Al Gore, in moment of high drama in Florida courtroom, succeed in undercutting crucial testimony by voting machine expert John Ahmann, who was produced by attorneys for Gov George W Bush to vouch for ability of Votomatic, vot...","The Gore legal team, downcast after a day and a half of rough sledding before Judge N. Sanders Sauls, jubilantly called it the ''Perry Mason moment'' -- that delicious, inevitable turning point when Mr. Mason's faithful secretary, Della Street, slips into the courtroom with newly discovered evidence that lets him spring a coup de grace that reduces the witness to tears and confession."
2000-12-05,Bush Takes Restrained Tone On Day That Goes His Way,CONTESTING THE VOTE: THE TEXAS GOVERNOR; Bush Takes Restrained Tone On Day That Goes His Way,"Gov George W Bush is restrained in reaction to US Supreme Court decision setting aside Florida Supreme Court ruling extending period for certification of presidential balloting and decision by Circuit Court judge rejecting Vice Pres Al Gore's request for recounting of ballots in South Florida; projects image of serenity and emotional distance from legal developments; privately, aides and advisers acknowledge rulings represent big step toward final and irrevocable determination that Bush is next president; photo (M)",Gov George W Bush is restrained in reaction to US Supreme Court decision setting aside Florida Supreme Court ruling extending period for certification of presidential balloting and decision by Circuit Court judge rejecting Vice Pres Al Gore's requ...,"Publicly, advisers to Gov. George W. Bush spoke in muted tones, with measured words, about what happened in Florida today, portraying it not as a victory for Mr. Bush but as a matter of justice."
2000-12-06,"Soviet Hymn Is Back, Creating Much Discord","Soviet Hymn Is Back, Creating Much Discord",Pres Vÿ,Pres Vÿ,The low point came last summer when President Vladimir V. Putin witnessed Russia's Olympic gold medalists standing in awkward silence on the victory stands of Sydney as their national anthem rumbled out of the loudspeakers.
2000-12-07,"Ease Up, Top Colleges Tell Stressed Applicants","Ease Up, Top Colleges Tell Stressed Applicants","Admissions officers at most selective colleges worry that admissions process has become such high-stress exercise in resume padding that students are arriving at their campuses on brink of burnout; despite their concern, they concede thay have taken few concrete steps to cool competition;admissions officers, at recent meeting of College Board in New York, bemoan slick packaging of applicants and say they are troubled that process they have wrought has spawned consultants for everything from pre-school to college admissions, students who pursue summer programs and good deeds solely to impress colleges, and parents pushing for most prestigious school instead of best education for their children; photos (M)","Admissions officers at most selective colleges worry that admissions process has become such high-stress exercise in resume padding that students are arriving at their campuses on brink of burnout; despite their concern, they concede thay have tak...","As college application season hits its height this month, the nation's top high school seniors are assembling packages they hope will show their grades to be phenomenal, their volunteer work noble, their athletic prowess remarkable, their summer experiences transcendent."
2000-12-08,Judge Who Rebuffed Gore Had Run-Ins With Justices,CONTESTING THE VOTE: ON THE BENCH; Judge Who Rebuffed Gore Had Run-Ins With Justices,"Florida Judge N Sanders Sauls, who strongly rebuffed Al Gore's bid for hand recount of presidential election ballots, was himself subjected to extraordinary professional humiliation by state Supreme Court justices in 1998 over his administration of Leon County court as its chief circuit judge; justices, who are now reviewing crucial Gore decision, warned Sauls to change arbitrary, unfair practices; retired Chief Justice Gerald Kogan recalls complaints that Sauls ran courthouse in autocratic manner; Sauls is Democrat and law-and-order conservative who takes literalist approach to statutes, contributing to relatively large number of reversals; Cindy Sauls strongly defends his professional conduct, blaming liberal lawyers for low bar ratings and unfair coverage; photos (M)","Florida Judge N Sanders Sauls, who strongly rebuffed Al Gore's bid for hand recount of presidential election ballots, was himself subjected to extraordinary professional humiliation by state Supreme Court justices in 1998 over his administration o...","In November 1998, Judge N. Sanders Sauls of Leon County Circuit Court was hauled to the woodshed by the Florida Supreme Court in what many here recall as the most extraordinary professional humiliation in North Florida's recent legal history."
2000-12-09,Broad Recount Presents Risks For Both Sides,CONTESTING THE VOTE: THE BALLOTS; Broad Recount Presents Risks For Both Sides,"Outcome of Presidential balloting in Florida is made far less certain with ruling by State Supreme Court ordering review of 45,000 untallied ballots, more than requested by Vice Pres Al Gore; undervoted ballots which must be recounted tend to be in significantly larger proportions in Democratic precincts than in Republican ones; map (M)","Outcome of Presidential balloting in Florida is made far less certain with ruling by State Supreme Court ordering review of 45,000 untallied ballots, more than requested by Vice Pres Al Gore; undervoted ballots which must be recounted tend to be i...","Vice President Al Gore went to court to force manual recounts in three predominantly Democratic counties that were presumed to hold a big advantage for him. But the Florida Supreme Court's order to review at least 45,000 untallied ballots across Florida leaves the outcome far less certain, an analysis of county and precinct data shows."
2000-12-10,Bush Had Sought Stay -- Hearing Is Tomorrow,CONTESTING THE VOTE: THE COURT RULING; Bush Had Sought Stay -- Hearing Is Tomorrow,"United States Supreme Court, in sudden and devastating blow to Vice Pres Al Gore's presidential hopes, votes 5-to-4 to stop vote counting that had begun hours earlier in Florida; court sets Monday morning for arguments on Gov George W Bush's appeal of Florida Supreme Court ruling that ordered manual recounts across state of ballots that initially showed no vote for president; with clock ticking inexorably toward Dec 12 deadline for certifying electors, Supreme Court's order could have effect of erasing Gore's chances that Florida Supreme Court had so dramatically revived barely 24 hours earlier with its 4-to-3 ruling; justices who vote to grant stay are Chief Justice William H Rehnquist and his four conservative colleagues: Justices Sandra Day O'Connor, Antonin Scalia, Anthony M Kennedy, and Clarence Thomas; dissenters are court's four more liberal members: Justices John Paul Stevens, David H Souter, Ruth Bader Ginsburg and Stephen G Breyer; bitter division on court, awkwardly papered over last week with an order to Florida Supreme Court to clarify an earlier ruling, bursts into open with move; photo (L)","United States Supreme Court, in sudden and devastating blow to Vice Pres Al Gore's presidential hopes, votes 5-to-4 to stop vote counting that had begun hours earlier in Florida; court sets Monday morning for arguments on Gov George W Bush's appea...","In a sudden and devastating blow to Vice President Al Gore's presidential hopes, the United States Supreme Court voted 5 to 4 today to stop the vote counting that had begun hours earlier in Florida. The court set Monday morning for arguments on Gov. George W. Bush's appeal of the Florida Supreme Court ruling that ordered manual recounts across the state of ballots that initially showed no vote for president."
2000-12-11,Bush v. Gore Is Now in Hands of Supreme Court,CONTESTING THE VOTE: THE OVERVIEW; Bush v. Gore Is Now in Hands of Supreme Court,"Lawyers for Vice Pres Al Gore and Gov George W Bush file briefs with US Supreme Court in preparation for December 11 hearing following justices' 5-4 order halting statewide recount of ballots in Florida that had just begun; Bush team argues that vote recount ordered by Florida Supreme Court is illegal and unconstitutional; Gore lawyers argue that only real right at issue in case is right of voters to have ballots counted; both teams agree decision by court could well be final stroke in long legal struggle; David Boies will represent Gore, replacing Laurence Tribe, and Theodore B Olson and Joseph P Klock Jr will again represent Bush at hearing; photos (M)",Lawyers for Vice Pres Al Gore and Gov George W Bush file briefs with US Supreme Court in preparation for December 11 hearing following justices' 5-4 order halting statewide recount of ballots in Florida that had just begun; Bush team argues that v...,"Lawyers for Gov. George W. Bush told the United States Supreme Court today that the vote recount ordered by the Florida Supreme Court on Friday was illegal and unconstitutional, while lawyers for Vice President Al Gore maintained that the only real right at issue in the case was ''the right of voters to have their ballots counted.''"
2000-12-12,A Ruling Voids Use of Vouchers In Ohio Schools,A Ruling Voids Use of Vouchers In Ohio Schools,"Federal appeals court, Cleveland, declares city's school voucher program unconstitutional; upholds lower court ruling that use of public money to send thousands of children to parochial schools breached First Amendment's separation of church and state; 2-1 decision, which included vitriolic exchange among judges, sets stage for US Supreme Court showdown on one of most contentious issues in education politics; comes month after voters in Michigan and California roundly rejected voucher programs in ballot initiatives (M)","Federal appeals court, Cleveland, declares city's school voucher program unconstitutional; upholds lower court ruling that use of public money to send thousands of children to parochial schools breached First Amendment's separation of church and s...","A federal appeals court declared a Cleveland school voucher program unconstitutional yesterday, upholding a lower court ruling that the use of public money to send thousands of children to parochial schools breaches the First Amendment's separation of church and state."
2000-12-13,"BY SINGLE VOTE, JUSTICES END RECOUNT, BLOCKING GORE AFTER 5-WEEK STRUGGLE","BUSH PREVAILS; BY SINGLE VOTE, JUSTICES END RECOUNT, BLOCKING GORE AFTER 5-WEEK STRUGGLE","US Supreme Court effectively hands presidential election to Gov George W Bush by ruling 5 to 4 that there is no time to come up with a way of counting Florida's disputed presidential votes that can both meet minimal constitutional standards and be accomplished within Dec 12 deadline for immunizing a state's electors from challenge in Congress; majority, comprising Chief Justice William H Rehnquist and Justices Sandra Day O'Connor, Antonin Scalia, Anthony M Kennedy and Clarence Thomas, holds that varying standards in different Florida counties for counting the punch-card ballots present problems of both due process and equal protection; two dissenting justices, Stephen G Breyer and David H Souter, agree, but say the answer is to extend recount until Dec 18 date for meeting of Electoral College; six separate opinions bear earmarks of a failed attempt at a compromise solution that would have permitted the vote counting to continue (M)",US Supreme Court effectively hands presidential election to Gov George W Bush by ruling 5 to 4 that there is no time to come up with a way of counting Florida's disputed presidential votes that can both meet minimal constitutional standards and be...,"The Supreme Court effectively handed the presidential election to George W. Bush tonight, overturning the Florida Supreme Court and ruling by a vote of 5 to 4 that there could be no further counting of Florida's disputed presidential votes."
2000-12-14,THE 43rd PRESIDENT: MAN IN THE NEWS; The 43rd President -- George Walker Bush,THE 43rd PRESIDENT: MAN IN THE NEWS; The 43rd President -- George Walker Bush,"Man in the News biographical profile of George Walker Bush, who will be 43d president of United States; photo (L)","Man in the News biographical profile of George Walker Bush, who will be 43d president of United States; photo (L)","Gov. George W. Bush cast his quest for the presidency as a stand against poisonous Washington -- its gridlock, its scandals, its bruising partisanship -- and in the very last week of his campaign he was barnstorming under bright banners that promised, ''Bringing America Together.''"
2000-12-15,House Leader Differs With Bush On Across-the-Board Tax Cuts,THE 43RD PRESIDENT: THE CONGRESS; House Leader Differs With Bush On Across-the-Board Tax Cuts,"Speaker J Dennis Hastert says he does not favor $1.3-trillion across-the-board tax cut that was centerpiece of George W Bush's campaign; says he will push for House to act on incremental tax cuts, for married couples and heirs, with backing of Republican whip Tom DeLay; Sen Charles E Grassley, future chairman of Finance Committee, concurs, noting that 50-50 split in Senate will make it hard to enact big cut; Vice Pres-elect Dick Cheney has also not pushed for major cut as he hears from Congresional Republicans who will be walking delicate fault line; also uncertain is actual size of next year's budget surplus; photo of Bush with wife after church service (M)","Speaker J Dennis Hastert says he does not favor $1.3-trillion across-the-board tax cut that was centerpiece of George W Bush's campaign; says he will push for House to act on incremental tax cuts, for married couples and heirs, with backing of Rep...","Speaker J. Dennis Hastert said today that he did not favor President-elect George W. Bush's $1.3 trillion across-the-board tax cut, a position that could threaten a centerpiece of his campaign."
2000-12-16,CITY SCHOOL CHIEF PROPOSES CHANGES IN BILINGUAL STUDY,CITY SCHOOL CHIEF PROPOSES CHANGES IN BILINGUAL STUDY,"New York City Schools Chancellor Harold O Levy, in move that could significantly reduce enrollment in bilingual education program, proposes that Board of Education end automatic assignment of students with limited English skills to such classes and have parents choose whether they want their children in programs where English is emphasized; proposal comes two months after study found several problems with city's bilingual education program, including substandard teaching and children who stay too long in program (M)","New York City Schools Chancellor Harold O Levy, in move that could significantly reduce enrollment in bilingual education program, proposes that Board of Education end automatic assignment of students with limited English skills to such classes an...","In a move that could significantly reduce enrollment in New York City's bilingual education program, Schools Chancellor Harold O. Levy will propose that the Board of Education end the automatic assignment of students with limited English skills to such classes and have parents choose whether they want their children in programs where English is emphasized, school officials say."
2000-12-17,MANY DEMOCRATS APPEAR SKEPTICAL OF GORE'S FUTURE,THE 43RD PRESIDENT: THE DEMOCRATS; MANY DEMOCRATS APPEAR SKEPTICAL OF GORE'S FUTURE,"Many prominent Democrats who have steadfastly defended Vice Pres Al Gore are now saying it would be difficult for him to stage a comeback in 2004 and are looking to Bill Clinton, who can never again run for president, to serve as driving force in opposition party; say Gore was flawed candidate who squandered a prime opportunity to capture presidency; accuse Gore of not emphasizing Clinton administration's accomplishments during campaign; cite Clinton's efforts to have Terry McAuliffe, one of his best friends, named party chairman as indication of his desire to remain influential; photos (M)","Many prominent Democrats who have steadfastly defended Vice Pres Al Gore are now saying it would be difficult for him to stage a comeback in 2004 and are looking to Bill Clinton, who can never again run for president, to serve as driving force in ...","Only days after they steadfastly defended Vice President Al Gore as the man who should be president, many prominent Democrats now say it would be difficult for him to stage a comeback in 2004. Instead, they are looking to someone who will never again run for president to serve as the driving force in the opposition party: Bill Clinton."
2000-12-18,Barak and Arafat Will Send Aides to Talks in Washington,Barak and Arafat Will Send Aides to Talks in Washington,"Israeli and Palestinian officials, for first time since violence erupted in late September, are dropping conditions for resuming peace negotiations and are beginning to talk anew; representatives for both sides will travel to Washington on December 18; Palestinian leader Yasir Arafat says he is open to substantive session with Prime Min Ehud Barak if groundwork is fully prepared; US and Israel are trying to imbue Palestinians with sense of deadline pressure as Pres Clinton's days in office are numbered, and Prime Min Barak is competing for re-election against all odds; photo (M)","Israeli and Palestinian officials, for first time since violence erupted in late September, are dropping conditions for resuming peace negotiations and are beginning to talk anew; representatives for both sides will travel to Washington on Decembe...","Reclining in an embroidered armchair in his beachside compound, Yasir Arafat sent his two hands sailing toward each other until the fingertips just barely touched."
2000-12-19,Aetna to Shed Customers and Jobs In Effort to Cut Health Care Costs,Aetna to Shed Customers and Jobs In Effort to Cut Health Care Costs,"Aetna Inc, nation's largest health insurer, will shed two million of its 19 million customers over next year as it raises premium charges and struggles to make troubled managed care business more profitable; announces plans to eliminate 5,000 jobs, or about 13 percent of work force; more than half of cuts will come from attrition, and will include reductions among its 2,300 employees in New Jersey; about 1.5 million of departing customers will be employees of companies that drop Prudential Health Care rather than pay steep premium increases; company plans to close unprofitable HMO's that insure 340,000 Medicare beneficiaries and sell or close health maintenance orgainzations that cover 300,000 to 350,000 employees of private companies (M)","Aetna Inc, nation's largest health insurer, will shed two million of its 19 million customers over next year as it raises premium charges and struggles to make troubled managed care business more profitable; announces plans to eliminate 5,000 jobs...","Aetna Inc., the nation's largest health insurance company, said yesterday that it would shed two million of its 19 million customers over the next year as it raises premium charges and struggles to make its troubled managed care business more profitable."
2000-12-20,CLINTON WILL ISSUE NEW PRIVACY RULES TO SHIELD PATIENTS,CLINTON WILL ISSUE NEW PRIVACY RULES TO SHIELD PATIENTS,"Pres Clinton will issue sweeping new rules to protect privacy of medical records by requiring doctors and hospitals to get consent from patients before disclosing health information; rules, which are a response to advances in technology that have permitted people to pilfer and diseminate health care data with a few clicks of a computer mouse, are hailed by privacy advocates; insurance companaies and employers declare support for privacy in principle, but complain that rules are burdensome and bureaucratic and will increase costs (M)","Pres Clinton will issue sweeping new rules to protect privacy of medical records by requiring doctors and hospitals to get consent from patients before disclosing health information; rules, which are a response to advances in technology that have ...","President Clinton on Wednesday will issue sweeping new rules to protect the privacy of medical records by requiring doctors and hospitals to get consent from patients before disclosing health information, the White House said today."
2000-12-21,THE 43rd PRESIDENT: THE PRESIDENT-ELECT; ALCOA'S CHAIRMAN IS NAMED BY BUSH TO TREASURY POST,THE 43rd PRESIDENT: THE PRESIDENT-ELECT; ALCOA'S CHAIRMAN IS NAMED BY BUSH TO TREASURY POST,"Pres-elect George W Bush choses Paul H O'Neill, chairman of Alcoa, as his candidate for treasury secretary; Bush taps his longtime friend, Donald L Evans, to be secretary of commerce, names Melguiades R Martinez as housing secretary and Ann M Veneman as agriculture secretary; Bush spends rest of day cleaning out his office at Texas Capitol and meeting with 30 religious figures, including several black ministers, to begin planning how to give religious groups major role in providing social services; Bush will announce his resignation as governor of Texas on Dec 21, and lieutenant governor, Rick Perry, will be sworn in later in day; photos (M)","Pres-elect George W Bush choses Paul H O'Neill, chairman of Alcoa, as his candidate for treasury secretary; Bush taps his longtime friend, Donald L Evans, to be secretary of commerce, names Melguiades R Martinez as housing secretary and Ann M Vene...","President-elect George W. Bush today chose Paul H. O'Neill, a business executive with extensive government experience, as his candidate for treasury secretary, calling him a ''steady voice'' who could ''calm people's nerves, calm the markets, calm those who would speculate in the dollar'' in the event of an economic downturn."
2000-12-22,G.O.P. SPLIT SLOWS BUSH'S SELECTION FOR DEFENSE POST,THE 43RD PRESIDENT: CHOOSING A CABINET; G.O.P. SPLIT SLOWS BUSH'S SELECTION FOR DEFENSE POST,"Republican officials say Pres-elect Bush has delayed naming defense secretary because he is not entirely satisfied with two principal candidates and has broadened search; his second thoughts ignite spirited debate between backers of former Sen Daniel Coats, favored by conservatives and Sen Trent Lott, and Paul Wolfowitz, former Pentagon official backed by influential Republican foreign policy experts; photos; Bush reportedly fears Wolfowitz could not manage sprawling Pentagon bureaucracy, but Wolfowitz backers suggest amiable Coats might be no match either for generals or for Colin Powell at State Department (M)",Republican officials say Pres-elect Bush has delayed naming defense secretary because he is not entirely satisfied with two principal candidates and has broadened search; his second thoughts ignite spirited debate between backers of former Sen Dan...,"President-elect George W. Bush has delayed his choice for secretary of defense because he is not entirely satisfied with the two principal candidates and has broadened his search, Republican officials said today."
2000-12-23,THE 43rd PRESIDENT: THE PRESIDENT-ELECT; CONSERVATIVE FOR JUSTICE POST; WHITMAN CHOSEN TO HEAD E.P.A.,THE 43rd PRESIDENT: THE PRESIDENT-ELECT; CONSERVATIVE FOR JUSTICE POST; WHITMAN CHOSEN TO HEAD E.P.A.,"President-elect George W Bush selects John Ashcroft, one of Republican Party's leading social conservatives, as next attorney general; Republican officials say that with choice of Ashcroft, Bush is hoping to placate party's right wing, which has been growing increasingly unhappy with his selection of a number of top officials from party's moderate wing; some Democrats promise vigorous examination of Ashcroft's record; Bush also announces selection of Christie Whitman, governor of New Jersey and a moderate, as administrator of Environmental Protection Agency; Bush says he supports upgrading EPA post to cabinet rank, which would require act of Congress; photos (M)","President-elect George W Bush selects John Ashcroft, one of Republican Party's leading social conservatives, as next attorney general; Republican officials say that with choice of Ashcroft, Bush is hoping to placate party's right wing, which has b...","President-elect George W. Bush, ending a fast-paced week of organizing his cabinet, today selected John Ashcroft, one of the Republican Party's leading social conservatives, as the next attorney general."
2000-12-24,Christmas Tree Fire Traps Family; 2 Children Die,Christmas Tree Fire Traps Family; 2 Children Die,"Christmas tree fire apparently ignited by candle roars through apartment in Washington Heights, trapping family of four between wall of flames and padlocked window gates over fire escape; two small children are killed and their parents are critically burned; photo (M)","Christmas tree fire apparently ignited by candle roars through apartment in Washington Heights, trapping family of four between wall of flames and padlocked window gates over fire escape; two small children are killed and their parents are critica...","A Christmas tree fire apparently ignited by a candle roared through an apartment in Washington Heights late Friday night, trapping a family of four between a wall of flames and padlocked window gates over a fire escape. Two small children were killed, and their parents were critically burned."
2000-12-25,A Torrent of Sludge Muddies a Town's Future,A Torrent of Sludge Muddies a Town's Future,"250 million gallons of coal-mining sludge bursts from waste lagoon of A T Massey Coal Co in Inez, Ky, creating environmental disaster; swamps gardens and lawns along six-mile stretch of Coldwater Creek in eastern Kentucky and coated its banks and bottom and those of neighboring 15-mile Wolf Creek to thickness of up to six feet; suffocates aquatic life and worsens economic disaster in backwater pocket of Appalachia; photos; map (M)","250 million gallons of coal-mining sludge bursts from waste lagoon of A T Massey Coal Co in Inez, Ky, creating environmental disaster; swamps gardens and lawns along six-mile stretch of Coldwater Creek in eastern Kentucky and coated its banks and ...","As Prentice Maynard was leaving for work before daybreak on Oct. 11, he noticed that Coldwater Creek was unusually high as it flowed under the bridge he took to the road."
